# registro dello spostamento -- scritto MAN MANO
vecchio	nuovo	sha1_byte	byte	esito
csv/_test_fork/_g6000/scena_000060.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000060.pkl.gz	07b32836423cbb9f400e84224ce5fa3fa4e3d5d9	28520767	OK
csv/_test_fork/_g6000/scena_000120.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000120.pkl.gz	70c73d0199c58e1c8ca56da8a1d326a7a6912d74	28674677	OK
csv/_test_fork/_g6000/scena_000180.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000180.pkl.gz	bb17e3eeac8f9e36a72bdde9c847cf565569ff54	29245161	OK
csv/_test_fork/_g6000/scena_000240.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000240.pkl.gz	04cae77987176d6f26210770f8ad6078d7d4fb00	29578018	OK
csv/_test_fork/_g6000/scena_000300.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000300.pkl.gz	5e052af1960a9c523da38faa745c3ea4dfeae37d	29708713	OK
csv/_test_fork/_g6000/scena_000360.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000360.pkl.gz	240212388898568fa5db47b5067062d814c96fbb	29823764	OK
csv/_test_fork/_g6000/scena_000420.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000420.pkl.gz	91cc3c70cd2d272353c7f99a8c09cfcd9567895d	29789266	OK
csv/_test_fork/_g6000/scena_000480.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000480.pkl.gz	aeff9262ecd7cb8b2306fe6a5f90b84182456f66	29914838	OK
csv/_test_fork/_g6000/scena_000540.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000540.pkl.gz	0494f35cac57d9f04c74e9990da2130e098b08fc	29909331	OK
csv/_test_fork/_g6000/scena_000600.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000600.pkl.gz	673e942958d224d5528b67d8ce79fda6b0ef1b79	29972460	OK
csv/_test_fork/_g6000/scena_000660.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000660.pkl.gz	f6e8352a2173ddae4d46836c24d8d27ed364de4a	30014769	OK
csv/_test_fork/_g6000/scena_000720.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000720.pkl.gz	5a1f8af21ae3a45c09b080fb65b165c5e987f729	30044443	OK
csv/_test_fork/_g6000/scena_000780.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000780.pkl.gz	272e099629110c370bae52da97a0dca8a7d863c5	29956293	OK
csv/_test_fork/_g6000/scena_000840.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000840.pkl.gz	8d414cc656afd35d8a56f91b9b8f880922268f94	30114915	OK
csv/_test_fork/_g6000/scena_000900.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000900.pkl.gz	29eeedd9109a33d76e7d0485a2c8a19c4c46b948	30153589	OK
csv/_test_fork/_g6000/scena_000960.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_000960.pkl.gz	55b08a675e39ffc64f88c5be0a8db3e44424436f	30178340	OK
csv/_test_fork/_g6000/scena_001020.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001020.pkl.gz	431dc5a082d41cfb7ac4ebca4ec417db946b4414	30179490	OK
csv/_test_fork/_g6000/scena_001080.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001080.pkl.gz	e73ab68730579ff91b9c7ca0711f12369b07888c	30225791	OK
csv/_test_fork/_g6000/scena_001140.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001140.pkl.gz	485347a130b7d1a7dad3515efd9d77e7dd47d22a	30143794	OK
csv/_test_fork/_g6000/scena_001200.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001200.pkl.gz	bb593640500f16fc20a93cb0d61ed38d557d305c	30278815	OK
csv/_test_fork/_g6000/scena_001260.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001260.pkl.gz	3109ca355911d8289221394b2896f8279814c5d7	30321197	OK
csv/_test_fork/_g6000/scena_001320.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001320.pkl.gz	c1d91696e90aa415e8e454ffffb71e7950afd405	30375137	OK
csv/_test_fork/_g6000/scena_001380.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001380.pkl.gz	f3e3ce612c453f9aa9df0a92d324e0c17aebaa54	30394876	OK
csv/_test_fork/_g6000/scena_001440.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001440.pkl.gz	1f8d18e8f0ce7755484b14345ea2fcaa16e51fa6	30257186	OK
csv/_test_fork/_g6000/scena_001500.pkl.gz	E:\soliton_archivio\csv\_test_fork\_g6000\scena_001500.pkl.gz	38b6666c877fd551193dde5506ce885a48771b98	30450924	OK
